<<<<<<< HEAD
value,name
0,STREET HAILING
10,BASE RIDE
100,DELIVERY
20,ADVANCED BOOKING
1,CAR METER RIDE
=======
value,name
0,STREET HAILING
10,BASE RIDE
100,DELIVERY
20,ADVANCED BOOKING
1,CAR METER RIDE
>>>>>>> 07f2a62337cc613ec5d7adbc6b8211f14747af39
